 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.000000000000000021e-02+0.000000000000000000e+00j), (4.839292864962130292e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.100000000000000006e-01+0.000000000000000000e+00j), (4.275246765536534488e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.100000000000000200e-01+0.000000000000000000e+00j), (4.246722594691362263e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.100000000000000533e-01+0.000000000000000000e+00j), (4.286346418345779452e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.100000000000000311e-01+0.000000000000000000e+00j), (4.330958505057577734e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.100000000000000089e-01+0.000000000000000000e+00j), (4.371858752156947969e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.100000000000000977e-01+0.000000000000000000e+00j), (4.408396416319006472e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.100000000000000755e-01+0.000000000000000000e+00j), (4.441041572459500375e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (8.100000000000000533e-01+0.000000000000000000e+00j), (4.470338200240484006e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (9.100000000000000311e-01+0.000000000000000000e+00j), (4.496759063906514142e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.010000000000000009e+00+0.000000000000000000e+00j), (4.520698718554100881e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.110000000000000098e+00+0.000000000000000000e+00j), (4.542485706064646744e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.210000000000000187e+00+0.000000000000000000e+00j), (4.562393353264133089e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.310000000000000053e+00+0.000000000000000000e+00j), (4.580652938343643954e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.410000000000000142e+00+0.000000000000000000e+00j), (4.597458899392023457e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.510000000000000009e+00+0.000000000000000000e+00j), (4.612976237238027299e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.610000000000000098e+00+0.000000000000000000e+00j), (4.627347429989199235e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.710000000000000187e+00+0.000000000000000000e+00j), (4.640693876503665383e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.810000000000000053e+00+0.000000000000000000e+00j), (4.653120955179679830e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (1.910000000000000142e+00+0.000000000000000000e+00j), (4.664719586395936757e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.009999999999999787e+00+0.000000000000000000e+00j), (4.675571139424840594e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.109999999999999876e+00+0.000000000000000000e+00j), (4.685743941487788278e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.209999999999999964e+00+0.000000000000000000e+00j), (4.695298366746093466e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.310000000000000053e+00+0.000000000000000000e+00j), (4.704291295366151426e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.410000000000000142e+00+0.000000000000000000e+00j), (4.712769998920192105e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.509999999999999787e+00+0.000000000000000000e+00j), (4.720776521517189295e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.609999999999999876e+00+0.000000000000000000e+00j), (4.728349832561598576e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.709999999999999964e+00+0.000000000000000000e+00j), (4.735524091213969555e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.810000000000000053e+00+0.000000000000000000e+00j), (4.742330095547104829e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (2.910000000000000142e+00+0.000000000000000000e+00j), (4.748794467878575953e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.009999999999999787e+00+0.000000000000000000e+00j), (4.754943017199809718e-01+0.000000000000000000e+00j)
